people_number,position_link,position_name,position_require,position_responsibility,position_type,publish_times,spider,time,work_location
1,https://hr.tencent.com/position_detail.php?id=46455&keywords=&tid=0&lid=0,25927-高级php后台开发（深圳）,"本科及以上学历；,有3年或以上php开发经验，对laravel等主流框架有一定了解，熟悉html5，有javascript的开发经验；,有大型网站(游戏社区)构建经验或大型服务架构设计能力；,对web性能优化、常见漏洞有深入的理解，并能在工作中取得有成效的问题定位和解决过程实践；,有数据库优化搜索经验；,有memcache、redis等nosql使用经验；,能熟练在linux下进行开发、配置；,具有良好的问题解决能力和一定的算法开发能力；,有良好的团队合作能力，善于沟通，主动性强。","参与平台产品研发和功能优化；,负责前后端统一建设和优化；,负责部分前端组件功能开发实现。",技术类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.872763,深圳
1,https://hr.tencent.com/position_detail.php?id=46452&keywords=&tid=0&lid=0,21090-赛事经理（深圳）,"本科学历，2年以上游戏行业相关工作经验，有游戏媒体、视频媒体、或有成功社区平台运营经验；,具有良好的运营意识，较强的数据分析能力；学习和协作能力强，善于沟通和协调资源，具备跨部门合作经历；,具有传播、口碑舆情管理经验；,脚踏实地、善于沟通和表达，具有团队精神，能够承受较强工作压力；,狂热的游戏爱好者，至少5年以上游戏史。高端竞技类游戏玩家（MOBA、FPS类玩家）优先。","本科及以上学历，2年以上游戏行业相关经验，熟悉电竞行业，至少一款成功竞技游戏的赛事运营经验；,有一定的系统策划能力，熟悉页面活动的制作流程，熟悉线下赛事的执行细节等；,有较强的沟通能力和执行能力，善于合作洽谈，撬动资源。,狂热的游戏爱好者，至少5年以上游戏史。高端竞技类游戏玩家（MOBA、FPS类玩家）优先。",产品/项目类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.870478,深圳
1,https://hr.tencent.com/position_detail.php?id=46454&keywords=&tid=0&lid=0,SA-腾讯社交广告投放平台产品经理（微信广告 深圳）,"具备优秀的跨团队沟通和协调能力，拥有强烈的责任心和抗压能力；,市场敏锐度高，对产品充满激情，有创新精神，学习能力强；,客户视角，关注产品细节和体验，有良好的数据分析与解决问题的能力；,本科及以上学历，有2年以上互联网产品策划经验，有广告产品策划和数据运营等经验优先。","负责微信广告服务商投放系统产品策划，通过服务商研究和数据分析，不断迭代投放体验，提升投放效率，拓展行业解决方案；,深入了解微信营销生态，研究业内动态，主动挖掘客户广告服务新模式，与渠道合作伙伴共赢；",产品/项目类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.871940,深圳
1,https://hr.tencent.com/position_detail.php?id=46453&keywords=&tid=0&lid=0,21090-市场推广经理（深圳）,"本科及以上学历，3年以上游戏市场、品牌相关工作经验，有射击、大DAU产品市场经验优先；,有敏锐的市场触觉，掌握一定的用户研究方法；,对于战术竞技品类有深刻认知，对于游戏的市场推广运营有自己的认知和方法论；,对于90后/00后用户有较深认知，对互联网热点充满好奇心，有较强的创新和拓展进取心；,优秀的资源整合能力，能整合各部门资源，扩大产品运营能力；,具备优秀的自我驱动力、学习能力、沟通能力、能够承担压力，有良好的合作意识。,游戏爱好者，至少3年以上游戏史。高端竞技类游戏玩家（MOBA、FPS类玩家）优先。","本科及以上学历，3年以上游戏市场、品牌相关工作经验，有射击、大DAU产品市场经验优先；,有敏锐的市场触觉，掌握一定的用户研究方法；,对于战术竞技品类有深刻认知，对于游戏的市场推广运营有自己的认知和方法论；,对于90后/00后用户有较深认知，对互联网热点充满好奇心，有较强的创新和拓展进取心；,优秀的资源整合能力，能整合各部门资源，扩大产品运营能力；,具备优秀的自我驱动力、学习能力、沟通能力、能够承担压力，有良好的合作意识。,游戏爱好者，至少3年以上游戏史。高端竞技类游戏玩家（MOBA、FPS类玩家）优先。案方向及效果。",产品/项目类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.871061,深圳
1,https://hr.tencent.com/position_detail.php?id=46463&keywords=&tid=0&lid=0,PCG20-行政运营经理（北京）,"1、本科或以上学历，2年以上行政工作经验；,2、协调统筹能力强，头脑灵活情商好，合作意识和服务意识强； ,3、工作高效执行力强，具备较好的时间管理意识；,4、良好学习能力，抗压能力强",1、负责事业群福利和活动策划、运营； 2、负责内外部福利资源拓展及整合，推动福利体系化建设； 3、员工氛围、关怀类项目策划及运作；4、负责办公规划， 对办公资源的整合与管理，合理分配、协调办公资源；5、行政运营工作执行，行政流程优化，行政服务质量管控； ,职能类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.869838,北京
2,https://hr.tencent.com/position_detail.php?id=46459&keywords=&tid=0&lid=0,23672-腾讯娱乐深度记者（北京）,"全日制统招本科及以上学历；,5年以上娱乐媒体相关工作经验，热爱娱乐，熟悉娱乐圈，拥有一定的人脉和业内资源；,具有平面媒体、网络媒体等新闻行业从业经验者优先考虑；,具有一定的新闻敏感度，具备强大的采访突破力和出色的文笔；,具有坚强的抗压力和责任心，具备团队合作精神。","负责日常娱乐新闻采访，主动挖掘新闻线索；,主攻深度调查（事件类、人物类、行业类等），负责信息筛选和选题确定；,负责实地采访、新闻撰写及稿件深度解析；,参与专题策划、组织及报道工作，兼顾电视新闻、音乐新闻采访报道。",内容编辑类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.868329,北京
1,https://hr.tencent.com/position_detail.php?id=46460&keywords=&tid=0&lid=0,23672-腾讯新闻原创节目内容运营,"统招大学本科以上学历，2年以上视频行业工作经验； ,热爱各类影视综艺节目，熟知深度内容节目运营思路和策略；,各类视频应用的深度用户，熟知此类应用的玩法；,擅长挖掘话题，并进行内容策划与运营；,具有节目制作和宣发资源，以及PGC、MCN等合作资源者优先；,具有优秀的沟通能力、执行力和项目管理能力。","负责内容出品部各类视频节目内容策划与日常运营；,制定运营计划，通过数据分析优化运营方案；,新媒体运营与社群维护；,对接节目制作方，推进制作流程。,对接节目商业化项目策划与执行。,对接各类合作方，策划和执行视频营销。",内容编辑类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.869194,北京
1,https://hr.tencent.com/position_detail.php?id=46421&keywords=&tid=0&lid=0,29912-微视审核团队标准化运营岗,"1.全日制本科及以上学历，2年以上审核运营经验；,2.有一定的标准化审核机制，有主导或参与过重要项目的标签体系建立；,3.较强的数据分析能力，能够将数据分析结果转化为运营策略；,4.较强的沟通能力，能够和协作团队建立良好的合作机制和合作关系；",制定标签体系，并能指导和管理外包团队准确完成标签标注，能和内容运营侧紧密沟通并及时关注和反馈数据，调优标签结构，；,产品/项目类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.863941,深圳
2,https://hr.tencent.com/position_detail.php?id=46435&keywords=&tid=0&lid=0,SA-腾讯社交广告公众号广告流量运营经理（微信广告 深圳）,"本科及以上学历，有内容平台相关运营工作的背景。,熟悉互联网广告行业，对广告商业化业务有深刻见解和热情。,具有较强的系统性思维、学习能力、沟通能力和执行力，责任心和团队合作精神出众；,具有较强的数据分析、信息总结汇报能力；,熟悉互联网广告行业，对广告商业化业务有热情，有内容平台运营相关经验者优先。","负责微信公众平台的广告流量运营，对可售卖流量的体量、售卖效率以及广告流量生态的健康度负责。,工作模块包括数据分析、市场洞察、项目管理、流程管理等。,可参与建设的产品模块包括：广告样式、售卖模式、推荐策略、投放系统、运营支撑工具等；,可积累的行业经验包括：大型内容平台的商业化模式探索经验、复杂流量生态的剖析洞察经验、公司级项目的管理经验",产品/项目类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.863315,深圳
1,https://hr.tencent.com/position_detail.php?id=46433&keywords=&tid=0&lid=0,28302-Start云游戏windows平台高级开发工程师 ,"5年以上windows研发经验，精通C/C++，精通网络编程，熟练使用STL，熟悉3D游戏引擎/图像/视频编解码标准，深入了解操作系统的内存管理、文件系统、进程线程调度等，不断追求性能优化。,热爱单机/主机游戏，对游戏前沿技术应用抱有热情，崇尚自由和共享，能快速学习，有梦想有追求。",负责Start云游戏平台开发，负责云游戏引擎开发，负责游戏适配开发等，持续提升性能和体验,技术类,2018-12-24,tenc_multi_grade,2018-12-24 19:30:39.862742,深圳
